"cancelled","financial_status","fulfillment_status","order_id","order_name","purchase_option","sale_kind","sale_line_type","cost_tracked","customer_id","customer_type","orders","total_sales","average_order_value","discounts","gross_sales","net_sales","returns","shipping","taxes","total_tips","total_cost","gross_profit","gross_margin","units_per_transaction","customers","pending_sales","ordered_item_quantity","net_quantity","average_units_ordered"
"No","paid","fulfilled","2590362075233","#17424","One-time","order","product","No","3361236418657","First-time","1","106.21","106.21","-18.74","124.95","106.21","0","0","0","0","0","0","0","5","1","0","5","5","5"
"No","paid","fulfilled","4577756741877","#27412","One-time","order","product","No","5956365156597","First-time","1","104.95","104.95","0","104.95","104.95","0","0","0","0","0","0","0","5","1","0","5","5","5"
"No","paid","fulfilled","4560392650997","#26812","One-time","order","product","No","5934699479285","First-time","1","104.95","104.95","0","104.95","104.95","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","4625308844277","#28841","One-time","order","product","No","5980025815285","First-time","1","104","104","0","104","104","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","4618831659253","#28675","One-time","order","product","No","6005098086645","First-time","1","103.48","103.48","-103.47","206.95","103.48","0","0","0","0","0","0","0","5","1","0","5","5","5"
"No","paid","partial","3651784114355","#23126","One-time","order","product","No","4530073764019","First-time","1","101.95","101.95","-17.98","119.93","101.95","0","0","0","0","0","0","0","7","1","0","7","7","7"
"No","paid","fulfilled","3083636670643","#19422","One-time","order","product","No","4468460290227","First-time","1","101.15","101.15","-17.84","118.99","101.15","0","0","0","0","0","0","0","1","1","0","1","1","1"
"No","paid","fulfilled","2311005569121","#14517","One-time","order","product","No","3165961125985","First-time","1","95.2","95.2","-23.8","119","95.2","0","0","0","0","0","0","0","1","1","0","1","1","1"
"No","paid","fulfilled","2231159750753","#13737","One-time","order","product","No","4730114369","Returning","1","89.99","89.99","0","89.99","89.99","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","3121329701043","#21308","One-time","order","product","No","4526164345011","Returning","1","84.94","84.94","-14.98","99.92","84.94","0","0","0","0","0","0","0","8","1","0","8","8","8"
"No","paid","fulfilled","4580316741877","#27487","One-time","order","product","No","5958875840757","First-time","1","83.97","83.97","0","83.97","83.97","0","0","0","0","0","0","0","3","1","0","3","3","3"
"No","paid","fulfilled","4575147196661","#27356","One-time","order","product","No","5953772159221","First-time","1","83.96","83.96","0","83.96","83.96","0","0","0","0","0","0","0","1","1","0","1","1","1"
"No","paid","fulfilled","3092219134131","#19599","One-time","order","product","No","4477550985395","First-time","1","75.95","75.95","0","75.95","75.95","0","0","0","0","0","0","0","5","1","0","5","5","5"
"No","paid","fulfilled","4596748943605","#28085","One-time","order","product","No","5978315063541","First-time","1","74.97","74.97","0","74.97","74.97","0","0","0","0","0","0","0","3","1","0","3","3","3"
"No","paid","fulfilled","3643049443507","#23044","One-time","order","product","No","5027840229555","First-time","1","74.76","74.76","-13.19","87.95","74.76","0","0","0","0","0","0","0","5","1","0","5","5","5"
"No","paid","fulfilled","4643959701749","#29193","One-time","order","product","No","3030369009761","Returning","1","71.96","71.96","0","71.96","71.96","0","0","0","0","0","0","0","4","1","0","4","4","4"
"No","paid","fulfilled","2521667174497","#16909","One-time","order","product","No","3440327229537","First-time","1","71.96","71.96","0","71.96","71.96","0","0","0","0","0","0","0","4","1","0","4","4","4"
"No","paid","fulfilled","4643210526965","#29175","One-time","order","product","No","3229483925601","Returning","1","71.96","71.96","0","71.96","71.96","0","0","0","0","0","0","0","4","1","0","4","4","4"
"No","paid","fulfilled","4561711759605","#26964","One-time","order","product","No","5934155825397","First-time","1","71.37","71.37","-12.59","83.96","71.37","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","2564978671713","#17199","One-time","order","product","No","2463251693665","First-time","1","69.98","69.98","0","69.98","69.98","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","4567069098229","#27160","One-time","order","product","No","5943626694901","First-time","1","67.12","67.12","-11.84","78.96","67.12","0","0","0","0","0","0","0","4","1","0","4","4","4"
"No","paid","fulfilled","3804500983987","#24340","One-time","order","product","No","5268761706675","First-time","1","64.98","64.98","0","64.98","64.98","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","4652264685813","#29423","One-time","order","product","No","4385705537","Returning","1","64.97","64.97","0","64.97","64.97","0","0","0","0","0","0","0","3","1","0","3","3","3"
"No","paid","fulfilled","2784928923745","#18608","One-time","order","product","No","3696433725537","First-time","1","64.57","64.57","-11.39","75.96","64.57","0","0","0","0","0","0","0","4","1","0","4","4","4"
"No","paid","fulfilled","3938417180851","#25362","One-time","order","product","No","5416931524787","First-time","1","63.99","63.99","0","63.99","63.99","0","0","0","0","0","0","0","1","1","0","1","1","1"
"No","paid","fulfilled","4546680979701","#26586","One-time","order","product","No","5923124150517","First-time","1","62.97","62.97","0","62.97","62.97","0","0","0","0","0","0","0","1","1","0","1","1","1"
"No","paid","fulfilled","4592449552629","#27938","One-time","order","product","No","5973523136757","First-time","1","62.97","62.97","0","62.97","62.97","0","0","0","0","0","0","0","1","1","0","1","1","1"
"No","paid","fulfilled","4586503209205","#27673","One-time","order","product","No","5965534855413","First-time","1","62.97","62.97","0","62.97","62.97","0","0","0","0","0","0","0","1","1","0","1","1","1"
"No","paid","fulfilled","4567240769781","#27174","One-time","order","product","No","5943802495221","First-time","1","62.97","62.97","0","62.97","62.97","0","0","0","0","0","0","0","3","1","0","3","3","3"
"No","paid","fulfilled","4567093346549","#27162","One-time","order","product","No","5943652057333","First-time","1","62.97","62.97","0","62.97","62.97","0","0","0","0","0","0","0","1","1","0","1","1","1"
"No","paid","fulfilled","4591010283765","#27853","One-time","order","product","No","5970992562421","First-time","1","62.97","62.97","0","62.97","62.97","0","0","0","0","0","0","0","1","1","0","1","1","1"
"No","paid","fulfilled","4592216441077","#27920","One-time","order","product","No","4587849351347","Returning","1","61.97","61.97","0","61.97","61.97","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","4685984563445","#30274","One-time","order","product","No","6090654515445","First-time","1","61.97","61.97","0","61.97","61.97","0","0","0","0","0","0","0","3","1","0","3","3","3"
"No","paid","fulfilled","4636331704565","#29051","One-time","order","product","No","6028517998837","First-time","1","59.97","59.97","0","59.97","59.97","0","0","0","0","0","0","0","3","1","0","3","3","3"
"No","paid","fulfilled","4612763648245","#28537","One-time","order","product","No","5998112211189","First-time","1","59.97","59.97","0","59.97","59.97","0","0","0","0","0","0","0","3","1","0","3","3","3"
"No","paid","fulfilled","4681764733173","#30180","One-time","order","product","No","6084626219253","First-time","1","59.97","59.97","0","59.97","59.97","0","0","0","0","0","0","0","3","1","0","3","3","3"
"No","paid","fulfilled","4655971139829","#29551","One-time","order","product","No","5518176125107","Returning","1","59.97","59.97","0","59.97","59.97","0","0","0","0","0","0","0","3","1","0","3","3","3"
"No","paid","fulfilled","2560147685473","#17160","One-time","order","product","No","3471453618273","First-time","1","57.76","57.76","-10.19","67.95","57.76","0","0","0","0","0","0","0","5","1","0","5","5","5"
"No","paid","fulfilled","4560452026613","#26830","One-time","order","product","No","5934763999477","First-time","1","56.99","56.99","0","56.99","56.99","0","0","0","0","0","0","0","1","1","0","1","1","1"
"No","paid","fulfilled","3877642633395","#24873","One-time","order","product","No","5350545457331","First-time","1","56.09","56.09","-9.89","65.98","56.09","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","4545967489269","#26567","One-time","order","product","No","5921833386229","First-time","1","56.08","56.08","-9.89","65.97","56.08","0","0","0","0","0","0","0","3","1","0","3","3","3"
"No","paid","fulfilled","3137037205683","#21618","One-time","order","product","No","4543034130611","First-time","1","56.08","56.08","-9.89","65.97","56.08","0","0","0","0","0","0","0","3","1","0","3","3","3"
"No","paid","fulfilled","4595649511669","#28046","One-time","order","product","No","5977224347893","First-time","1","55.98","55.98","-13.99","69.97","55.98","0","0","0","0","0","0","0","3","1","0","3","3","3"
"No","paid","fulfilled","4649036120309","#29333","One-time","order","product","No","4558944305331","Returning","1","55.98","55.98","0","55.98","55.98","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","2994889719987","#18705","One-time","order","product","No","4355607462067","First-time","1","55.98","55.98","0","55.98","55.98","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","4662353527029","#29793","One-time","order","product","No","5990444663029","Returning","1","55.98","55.98","0","55.98","55.98","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","4637743317237","#29080","One-time","order","product","No","6019773137141","First-time","1","55.23","55.23","-9.74","64.97","55.23","0","0","0","0","0","0","0","3","1","0","3","3","3"
"No","paid","fulfilled","4617391833333","#28628","One-time","order","product","No","6003457884405","First-time","1","53.98","53.98","-5.99","59.97","53.98","0","0","0","0","0","0","0","3","1","0","3","3","3"
"No","paid","fulfilled","2310918864993","#14511","One-time","order","product","No","3197581262945","First-time","1","53.97","53.97","0","53.97","53.97","0","0","0","0","0","0","0","3","1","0","3","3","3"
"No","paid","fulfilled","3092270743731","#19600","One-time","order","product","No","4477619110067","First-time","1","53.97","53.97","0","53.97","53.97","0","0","0","0","0","0","0","3","1","0","3","3","3"
"No","paid","fulfilled","4668115452149","#29959","One-time","order","product","No","6068736950517","First-time","1","53.97","53.97","0","53.97","53.97","0","0","0","0","0","0","0","3","1","0","3","3","3"
"No","paid","fulfilled","4626347196661","#28876","One-time","order","product","No","1232706863201","Returning","1","53.97","53.97","0","53.97","53.97","0","0","0","0","0","0","0","3","1","0","3","3","3"
"No","paid","fulfilled","3049653338291","#18820","One-time","order","product","No","3231047843937","Returning","1","53.97","53.97","0","53.97","53.97","0","0","0","0","0","0","0","3","1","0","3","3","3"
"No","paid","fulfilled","2195764478049","#13541","One-time","order","product","No","3054656028769","First-time","1","53.97","53.97","0","53.97","53.97","0","0","0","0","0","0","0","3","1","0","3","3","3"
"No","paid","fulfilled","4643266593013","#29178","One-time","order","product","No","2969139511393","Returning","1","53.97","53.97","0","53.97","53.97","0","0","0","0","0","0","0","3","1","0","3","3","3"
"No","paid","fulfilled","4580811374837","#27495","One-time","order","product","No","5959386431733","First-time","1","53.97","53.97","0","53.97","53.97","0","0","0","0","0","0","0","3","1","0","3","3","3"
"No","paid","fulfilled","4695764959477","#30472","One-time","order","product","No","6106726564085","First-time","1","53.53","53.53","-9.44","62.97","53.53","0","0","0","0","0","0","0","3","1","0","3","3","3"
"No","paid","fulfilled","3981281624243","#25670","One-time","order","product","No","5494793371827","First-time","1","52.68","52.68","-9.29","61.97","52.68","0","0","0","0","0","0","0","3","1","0","3","3","3"
"No","refunded","fulfilled","3112995782835","#20513","One-time","order","product","No","4516337483955","First-time","1","52.65","52.65","-9.29","61.94","52.65","0","0","0","0","0","0","0","6","1","0","6","6","6"
"No","paid","fulfilled","2311769522273","#14543","One-time","order","product","No","3187037044833","First-time","1","51.18","51.18","-12.79","63.97","51.18","0","0","0","0","0","0","0","4","1","0","4","4","4"
"No","paid","fulfilled","2325876965473","#14749","One-time","order","product","No","1118840848481","Returning","1","51.18","51.18","-12.79","63.97","51.18","0","0","0","0","0","0","0","4","1","0","4","4","4"
"No","paid","fulfilled","4606000562421","#28396","One-time","order","product","No","5988616536309","First-time","1","50.98","50.98","-8.99","59.97","50.98","0","0","0","0","0","0","0","3","1","0","3","3","3"
"No","paid","fulfilled","3089589764275","#19552","One-time","order","product","No","4474681884851","First-time","1","50.98","50.98","-8.99","59.97","50.98","0","0","0","0","0","0","0","3","1","0","3","3","3"
"No","paid","fulfilled","3640571429043","#23019","One-time","order","product","No","5024991412403","First-time","1","50.98","50.98","-8.99","59.97","50.98","0","0","0","0","0","0","0","3","1","0","3","3","3"
"No","paid","fulfilled","3751830356147","#23911","One-time","order","product","No","5170311758003","First-time","1","50.98","50.98","-8.99","59.97","50.98","0","0","0","0","0","0","0","3","1","0","3","3","3"
"No","paid","fulfilled","3139765960883","#21655","One-time","order","product","No","4545944289459","First-time","1","50.98","50.98","-8.99","59.97","50.98","0","0","0","0","0","0","0","3","1","0","3","3","3"
"No","paid","fulfilled","2614105374817","#17697","One-time","order","product","No","3528939470945","First-time","1","49.98","49.98","0","49.98","49.98","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","4600243683573","#28268","One-time","order","product","No","5981940416757","First-time","1","49.98","49.98","0","49.98","49.98","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","2617094504545","#17741","One-time","order","product","No","3508926840929","First-time","1","49.98","49.98","0","49.98","49.98","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","4632372838645","#29005","One-time","order","product","No","6021949849845","First-time","1","49.98","49.98","0","49.98","49.98","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","4648942141685","#29323","One-time","order","product","No","3050879713377","Returning","1","49.98","49.98","0","49.98","49.98","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","4643206496501","#29174","One-time","order","product","No","2185860481121","Returning","1","49.98","49.98","0","49.98","49.98","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","2371856859233","#15187","One-time","order","product","No","3266179301473","First-time","1","49.95","49.95","0","49.95","49.95","0","0","0","0","0","0","0","5","1","0","5","5","5"
"No","paid","fulfilled","2521667174497","#16909","One-time","order","shipping","No","3440327229537","First-time","0","49.5","0","0","0","0","0","49.5","0","0","0","0","0","0","0","0","0","0","0"
"No","paid","fulfilled","3081721282739","#19389","One-time","order","shipping","No","4464567845043","First-time","0","49.5","0","0","0","0","0","49.5","0","0","0","0","0","0","0","0","0","0","0"
"No","paid","fulfilled","2560147685473","#17160","One-time","order","shipping","No","3471453618273","First-time","0","49.5","0","0","0","0","0","49.5","0","0","0","0","0","0","0","0","0","0","0"
"No","paid","fulfilled","4626536661237","#28883","One-time","order","shipping","No","638324408417","Returning","0","49.5","0","0","0","0","0","49.5","0","0","0","0","0","0","0","0","0","0","0"
"No","paid","fulfilled","4655939420405","#29548","One-time","order","shipping","No","6053813780725","First-time","0","49.5","0","0","0","0","0","49.5","0","0","0","0","0","0","0","0","0","0","0"
"No","paid","fulfilled","4016448962739","#25909","One-time","order","shipping","No","5536088096947","First-time","0","49.5","0","0","0","0","0","49.5","0","0","0","0","0","0","0","0","0","0","0"
"No","paid","fulfilled","3194848575667","#22386","One-time","order","shipping","No","4618205331635","First-time","0","49.5","0","0","0","0","0","49.5","0","0","0","0","0","0","0","0","0","0","0"
"No","paid","fulfilled","2770872795233","#18555","One-time","order","shipping","No","3684670406753","First-time","0","49.5","0","0","0","0","0","49.5","0","0","0","0","0","0","0","0","0","0","0"
"No","paid","fulfilled","2323876642913","#14704","One-time","order","product","No","3212380176481","First-time","1","49.29","49.29","-8.69","57.98","49.29","0","0","0","0","0","0","0","4","1","0","4","4","4"
"No","paid","fulfilled","4686873624821","#30294","One-time","order","product","No","6091521687797","First-time","1","49.28","49.28","-8.69","57.97","49.28","0","0","0","0","0","0","0","3","1","0","3","3","3"
"No","paid","fulfilled","3736771625139","#23801","One-time","order","product","No","5153131462835","First-time","1","49.27","49.27","-8.69","57.96","49.27","0","0","0","0","0","0","0","4","1","0","4","4","4"
"No","paid","fulfilled","3087063449779","#19500","One-time","order","product","No","4471892148403","First-time","1","49.27","49.27","-8.69","57.96","49.27","0","0","0","0","0","0","0","4","1","0","4","4","4"
"No","paid","fulfilled","4558739013877","#26755","One-time","order","product","No","5932828524789","First-time","1","48.98","48.98","0","48.98","48.98","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","2629735383137","#17817","One-time","order","product","No","3543392125025","First-time","1","48.97","48.97","0","48.97","48.97","0","0","0","0","0","0","0","3","1","0","3","3","3"
"No","paid","fulfilled","4643944530165","#29191","One-time","order","product","No","4730114369","Returning","1","47.98","47.98","0","47.98","47.98","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","4556591694069","#26694","One-time","order","product","No","5930488561909","First-time","1","47.98","47.98","0","47.98","47.98","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","4592392503541","#27933","One-time","order","product","No","5973455536373","First-time","1","47.59","47.59","-8.39","55.98","47.59","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","2141317070945","#13319","One-time","order","product","No","2997603663969","First-time","1","47.59","47.59","-8.39","55.98","47.59","0","0","0","0","0","0","0","4","1","0","4","4","4"
"No","paid","fulfilled","2747064746081","#18415","One-time","order","product","No","3663739027553","First-time","1","47.59","47.59","-8.39","55.98","47.59","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","3210309075123","#22711","One-time","order","product","No","4637045457075","First-time","1","47.54","47.54","-8.38","55.92","47.54","0","0","0","0","0","0","0","8","1","0","8","8","8"
"No","partially_refunded","partial","2046916886625","#13039","One-time","order","product","No","2893641613409","First-time","1","46.75","46.75","-8.24","54.99","46.75","0","0","0","0","0","0","0","3","1","0","3","3","3"
"No","paid","fulfilled","2591168331873","#17488","One-time","order","product","No","3508871692385","First-time","1","45.97","45.97","0","45.97","45.97","0","0","0","0","0","0","0","3","1","0","3","3","3"
"No","paid","fulfilled","2611539673185","#17678","One-time","order","product","No","3526580502625","First-time","1","45.97","45.97","0","45.97","45.97","0","0","0","0","0","0","0","3","1","0","3","3","3"
"No","paid","fulfilled","4658459902197","#29645","One-time","order","product","No","6056179859701","First-time","1","45.88","45.88","0","45.88","45.88","0","0","0","0","0","0","0","12","1","0","12","12","12"
"No","paid","fulfilled","4591659122933","#27889","One-time","order","product","No","5971689898229","First-time","1","45.04","45.04","-7.94","52.98","45.04","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","3878265847987","#24878","One-time","order","product","No","4451015786675","Returning","1","44.99","44.99","0","44.99","44.99","0","0","0","0","0","0","0","1","1","0","1","1","1"
"No","paid","fulfilled","3877255905459","#24869","One-time","order","product","No","5350260900019","First-time","1","44.99","44.99","0","44.99","44.99","0","0","0","0","0","0","0","1","1","0","1","1","1"
"No","paid","fulfilled","4038802505907","#26039","One-time","order","product","No","5564414820531","Returning","1","44.99","44.99","0","44.99","44.99","0","0","0","0","0","0","0","1","1","0","1","1","1"
"No","paid","fulfilled","2757820416097","#18482","One-time","order","product","No","3673568542817","First-time","1","44.99","44.99","0","44.99","44.99","0","0","0","0","0","0","0","1","1","0","1","1","1"
"No","paid","fulfilled","3937705787571","#25352","One-time","order","product","No","5155353166003","Returning","1","44.99","44.99","0","44.99","44.99","0","0","0","0","0","0","0","1","1","0","1","1","1"
"No","paid","fulfilled","4108196118707","#26494","One-time","order","product","No","5719168778419","First-time","1","44.99","44.99","0","44.99","44.99","0","0","0","0","0","0","0","1","1","0","1","1","1"
"No","paid","fulfilled","3804304048307","#24336","One-time","order","product","No","5268139737267","First-time","1","44.99","44.99","0","44.99","44.99","0","0","0","0","0","0","0","1","1","0","1","1","1"
"No","paid","fulfilled","2311324860513","#14530","One-time","order","product","No","3198001938529","First-time","1","44.79","44.79","-11.19","55.98","44.79","0","0","0","0","0","0","0","4","1","0","4","4","4"
"No","paid","fulfilled","4643775414517","#29189","One-time","order","product","No","4949290561","Returning","1","43.98","43.98","0","43.98","43.98","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","4643149709557","#29169","One-time","order","product","No","5549808681139","Returning","1","43.98","43.98","0","43.98","43.98","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","4679148536053","#30129","One-time","order","product","No","4642201370803","Returning","1","43.98","43.98","0","43.98","43.98","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","4673608417525","#30050","One-time","order","product","No","3181082214497","Returning","1","43.98","43.98","0","43.98","43.98","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","4683479220469","#30209","One-time","order","product","No","6087456653557","First-time","1","43.25","43.25","-7.63","50.88","43.25","0","0","0","0","0","0","0","12","1","0","12","12","12"
"No","paid","fulfilled","2310908870753","#14510","One-time","order","product","No","4371681473","Returning","1","43.18","43.18","-10.79","53.97","43.18","0","0","0","0","0","0","0","3","1","0","3","3","3"
"No","paid","fulfilled","2313715646561","#14567","One-time","order","product","No","960761987169","First-time","1","43.18","43.18","-10.79","53.97","43.18","0","0","0","0","0","0","0","3","1","0","3","3","3"
"No","paid","fulfilled","4106424549555","#26469","One-time","order","product","No","5717528740019","First-time","1","42.98","42.98","0","42.98","42.98","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","4645839110389","#29233","One-time","order","product","No","6041884197109","First-time","1","42.49","42.49","-7.49","49.98","42.49","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","4579228614901","#27451","One-time","order","product","No","5957826707701","First-time","1","42.49","42.49","-7.49","49.98","42.49","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","4084428079283","#26310","One-time","order","product","No","5668781097139","First-time","1","41.98","41.98","0","41.98","41.98","0","0","0","0","0","0","0","1","1","0","1","1","1"
"No","paid","fulfilled","4656013508853","#29555","One-time","order","product","No","6052002988277","First-time","1","41.98","41.98","0","41.98","41.98","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","4598819520757","#28216","One-time","order","product","No","5980415394037","First-time","1","41.98","41.98","0","41.98","41.98","0","0","0","0","0","0","0","1","1","0","1","1","1"
"No","paid","fulfilled","4055083974835","#26157","One-time","order","product","No","5586279694515","First-time","1","41.98","41.98","0","41.98","41.98","0","0","0","0","0","0","0","1","1","0","1","1","1"
"No","paid","fulfilled","4587072979189","#27692","One-time","order","product","No","5966186545397","First-time","1","41.98","41.98","0","41.98","41.98","0","0","0","0","0","0","0","1","1","0","1","1","1"
"No","paid","fulfilled","4626536661237","#28883","One-time","order","product","No","638324408417","Returning","1","41.98","41.98","0","41.98","41.98","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","4564627521781","#27123","One-time","order","product","No","4494009270451","First-time","1","41.98","41.98","0","41.98","41.98","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","4556331745525","#26687","One-time","order","product","No","5930231857397","First-time","1","41.98","41.98","0","41.98","41.98","0","0","0","0","0","0","0","1","1","0","1","1","1"
"No","paid","fulfilled","4562498289909","#26988","One-time","order","product","No","5939027804405","First-time","1","41.98","41.98","0","41.98","41.98","0","0","0","0","0","0","0","1","1","0","1","1","1"
"No","paid","fulfilled","4648895447285","#29314","One-time","order","product","No","3038305124449","Returning","1","41.98","41.98","0","41.98","41.98","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","3996076310707","#25770","One-time","order","product","No","5510449135795","First-time","1","41.98","41.98","0","41.98","41.98","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","3960255611059","#25531","One-time","order","product","No","5441235812531","First-time","1","41.98","41.98","0","41.98","41.98","0","0","0","0","0","0","0","1","1","0","1","1","1"
"No","paid","fulfilled","4569638306037","#27240","One-time","order","product","No","5947759526133","First-time","1","41.98","41.98","0","41.98","41.98","0","0","0","0","0","0","0","1","1","0","1","1","1"
"No","paid","fulfilled","4597440741621","#28124","One-time","order","product","No","5979003158773","First-time","1","41.98","41.98","0","41.98","41.98","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","4592867836149","#27952","One-time","order","product","No","5974214344949","First-time","1","41.98","41.98","0","41.98","41.98","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","4084222492851","#26308","One-time","order","product","No","5667143352499","First-time","1","41.98","41.98","0","41.98","41.98","0","0","0","0","0","0","0","1","1","0","1","1","1"
"No","paid","fulfilled","4556751962357","#26702","One-time","order","product","No","5930657939701","First-time","1","41.98","41.98","0","41.98","41.98","0","0","0","0","0","0","0","1","1","0","1","1","1"
"No","paid","fulfilled","4545326579957","#26547","One-time","order","product","No","5920774848757","First-time","1","41.98","41.98","0","41.98","41.98","0","0","0","0","0","0","0","2","1","0","2","2","2"
"No","paid","fulfilled","4564869873909","#27128","One-time","order","product","No","5941454536949","First-time","1","41.98","41.98","0","41.98","41.98","0","0","0","0","0","0","0","1","1","0","1","1","1"
"No","paid","fulfilled","4659248464117","#29673","One-time","order","product","No","5370119553203","Returning","1","41.98","41.98","0","41.98","41.98","0","0","0","0","0","0","0","2","1","0","2","2","2"
